WL_nm;Abs_Irradiance
757;34.38739395
758;35.46533585
759;38.29198837
760;40.77651596
761;42.58274078
762;42.55027008
763;44.81784439
764;74.23604584
765;91.21054077
766;56.75877762
767;45.08235931
768;35.67127228
769;32.01164627
770;29.60099792
771;27.88271523
772;27.0869751
773;25.46040535
774;24.66696358
775;23.9871273
776;23.51917839
777;23.67098808
778;22.96941185
779;23.42253494
780;23.19958115
781;24.73949242
782;25.39202309
783;25.13566399
784;24.29298019
785;23.82564545
786;24.08406639
787;24.20425987
788;27.54635429
789;37.41080093
790;39.93429947
791;36.62491989
792;29.90386963
793;27.01891518
794;26.15014267
795;25.91596985
796;27.0929985
797;32.38623047
798;34.18368912
799;30.72831154
800;27.66578293
801;26.7592411
802;25.42834854
803;24.28693771
804;23.96899414
805;24.01846504
806;24.69871521
807;27.73528671
808;27.6734848
809;26.12912941
810;24.36734962
811;23.47436333
812;22.38885689
813;20.80288887
814;20.77233696
815;20.06124687
816;20.55059814
817;21.98278999
818;23.71114731
819;25.8127594
820;29.08342934
821;45.26087189
822;85.50585938
823;235.3226318
824;265.726532
825;231.1735382
826;116.5172272
827;92.66586304
828;141.4310455
829;118.4987259
830;93.77759552
831;39.45344543
832;25.86292648
833;29.86131096
834;43.97554016
835;82.21003723
836;74.14634705
837;41.57613754
838;22.24599838
839;18.92539787
840;19.22171783
841;33.57511902
842;32.89521408
843;22.06528854
844;17.06982994
845;12.94560051
846;11.55123425
847;10.95692825
848;11.50223732
849;11.59911633
850;11.69071579
851;11.26190662
852;11.18122959
853;10.97792721
854;11.25895691
855;10.7172451
856;10.34667587
857;10.96919632
858;11.17410851
859;11.36693478
860;11.57642555
861;11.66361237
862;12.32143688
863;12.47097874
864;13.88460636
865;15.26854992
866;14.63245296
867;15.43258762
868;15.28636742
869;15.29959488
870;16.71940613
871;16.89224625
872;18.10953331
873;20.55757713
874;21.62902832
875;22.53147697
876;22.53476524
877;22.24991035
878;23.54047966
879;28.62832069
880;48.69307709
881;81.12625885
882;162.0700073
883;170.4418793
884;133.4067841
885;104.7075577
886;60.30069733
887;41.93032837
888;32.88188171
889;26.43037987
890;25.17487907
891;24.7352581
892;26.07776833
893;31.29007721
894;39.09741974
895;78.52968597
896;79.89328003
897;71.36845398
898;47.24432373
899;36.40866089
900;27.06799889
901;22.31401062
902;21.52087784
903;26.22879601
904;65.49333191
905;77.45716858
906;69.88100433
907;60.52176285
908;34.71356201
909;18.79297447
910;15.52837849
911;14.94930172
912;15.1697588
913;18.41856956
914;28.35745621
915;74.63934326
916;109.1010437
917;118.6240997
918;107.4321518
919;74.45069122
920;43.99355316
921;36.05863953
922;28.36402702
923;23.46367264
924;18.94074631
925;17.40829849
926;14.19900322
927;12.09100151
928;11.77726078
929;12.13810635
930;15.50523281
931;14.91084099
932;17.15098572
933;15.49112511
934;14.64147949
935;18.00779533
936;24.03780174
937;35.55469894
938;40.27850723
939;46.5418663
940;44.81070709
941;37.39825058
942;30.58310699
943;29.37927628
944;30.0785675
945;32.47256088
946;32.3645134
947;31.77422905
948;34.73921204
949;37.57587051
950;44.49591064
